mileage,make,model,fuel,gear,offerType,price,hp,year
92800,Volkswagen,Golf,Gasoline,Manual,Used,6877,122,2011
235000,BMW,316,Diesel,Manual,Used,6800,116,2011
10,BMW,X2,Gasoline,Automatic,Pre-registered,41450,178,2021
115000,Mazda,3,Gasoline,Automatic,Used,6980,150,2011
31420,Audi,RS Q3,Gasoline,Automatic,Used,59985,400,2020
